sku,name,type,price,description,order_id
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,54704bd1-32a3-472e-93f2-c4724d098e73
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,3b5ee745-a5d0-4e99-83d2-6927e3bf5432
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",d349a137-0642-4b96-b298-ede13360f328
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,1f19c2de-2507-4f0c-9639-88a90326e56c
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,1f19c2de-2507-4f0c-9639-88a90326e56c
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,918ea35d-e964-47da-b28b-ec439f2ad72d
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,b5806f29-7c43-4bca-aaa1-b965a4b5fe03
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,ac86a245-8602-4d0b-b7ad-dcc7ff0b584f
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,ac86a245-8602-4d0b-b7ad-dcc7ff0b584f
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,3bb600b1-0c3b-41da-9a32-04d51f2075b8
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,db76d58f-8c1e-429b-9561-8cc4afaff66e
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,db76d58f-8c1e-429b-9561-8cc4afaff66e
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,702beb1c-dabe-4227-9ff4-9b237946718c
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,1ce6b972-9884-4758-b984-33a9f3167c70
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,fd641155-5902-4b16-adc4-50bc41500c79
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",fd641155-5902-4b16-adc4-50bc41500c79
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard,fd641155-5902-4b16-adc4-50bc41500c79
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,5a58c357-abe2-43bf-92f8-94d2f28f9540
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,5a58c357-abe2-43bf-92f8-94d2f28f9540
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",5a58c357-abe2-43bf-92f8-94d2f28f9540
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",7f81e1b3-591c-4df5-ba00-ac08ba822b6e
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,15a96888-3ee0-49bc-902b-51a97fa491fe
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,3cdb321d-d512-468c-8739-02d20712eec4
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard,3cdb321d-d512-468c-8739-02d20712eec4
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,3cdb321d-d512-468c-8739-02d20712eec4
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,bf72d0b6-5c27-4cb6-b93c-f4080a09de0e
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,811b2e8d-7857-459a-bb35-2a073e3c90c6
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",7472e69f-7ce8-4ad9-b3ed-6b1bb00ee128
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! ",7472e69f-7ce8-4ad9-b3ed-6b1bb00ee128
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,7472e69f-7ce8-4ad9-b3ed-6b1bb00ee128
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",59842537-eae6-494e-9e9a-681edd9ae007
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,59842537-eae6-494e-9e9a-681edd9ae007
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",59842537-eae6-494e-9e9a-681edd9ae007
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,59842537-eae6-494e-9e9a-681edd9ae007
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,59842537-eae6-494e-9e9a-681edd9ae007
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,59842537-eae6-494e-9e9a-681edd9ae007
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,59842537-eae6-494e-9e9a-681edd9ae007
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,59842537-eae6-494e-9e9a-681edd9ae007
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost,59842537-eae6-494e-9e9a-681edd9ae007
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,59842537-eae6-494e-9e9a-681edd9ae007
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",737b319b-9d2a-438c-a758-db1f8d5a4f32
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,468ffd6f-8008-47b3-8a92-0fa4cddb1d4d
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,b34c9700-687e-4cc0-8383-b1c307ed8b29
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle,b34c9700-687e-4cc0-8383-b1c307ed8b29
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover,a8c83580-b29a-4298-8dfc-950b3d02a381
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle,a8c83580-b29a-4298-8dfc-950b3d02a381
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",c8a2fd84-3a33-4ea6-bec3-9776981fc7df
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,5f948a22-4cac-4225-8b07-dd5746e0da13
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet",5f948a22-4cac-4225-8b07-dd5746e0da13
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",179e944f-0d49-4098-95e8-4f0f609edb6b
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,af44206b-7608-4358-8408-8bbd31340abb
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst",005460bf-c16b-41b6-b1b6-1edd57e258b4
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,005460bf-c16b-41b6-b1b6-1edd57e258b4
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,005460bf-c16b-41b6-b1b6-1edd57e258b4
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard,005460bf-c16b-41b6-b1b6-1edd57e258b4
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! ",005460bf-c16b-41b6-b1b6-1edd57e258b4
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup,5794138f-0c34-4ad5-bc74-048f278699a4
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie,201cc49b-27e4-4bb7-a270-cb896912be61
